61 98 163
0 101.687 159.571 92
167 120 170 117
173 114 175 112
204 98 161 141
148 169 225 92
227 90 228 89
253 79 147 185
152 195 268 79
277 85 153 209
167 210 283 94
292 100 181 211
189 218 298 109
303 119 199 223
206 231 308 129
315 137 208 244
209 258 320 147
325 157 211 271
212 285 329 168
335 177 223 289
237 290 339 188
344 198 265 277
259 283 252 290
260 297 260 297
264 293 266 291
273 284 347 210
350 222 282 290
289 296 351 234
354 246 297 303
306 309 356 259
354 276 315 315
