29 43 57
0 62.6316 125.263 198
164 348 166 346
168 344 175 337
178 334 178 334
183 329 183 329
186 326 188 324
191 321 193 319
196 316 197 315
200 312 212 300
236 291 231 296
229 298 167 360
115 427 136 406
172 370 247 295
253 304 175 382
145 412 101 456
99 458 98 459
99 473 155 417
182 390 261 311
273 312 186 399
171 414 168 417
162 423 105 480
114 486 172 428
174 426 180 420
184 416 287 313
295 320 212 403
207 408 203 412
182 433 126 489
138 492 188 442
198 432 198 432
215 415 305 325
313 332 224 421
211 434 210 435
202 443 148 497
155 505 185 475
197 463 208 452
215 445 219 441
228 432 342 318
346 314 347 313
349 311 362 298
364 296 365 295
368 292 368 292
376 299 231 444
225 450 220 455
216 459 207 468
189 486 167 508
165 510 163 512
180 510 193 497
220 470 381 309
381 324 234 471
246 474 380 340
377 358 264 471
286 464 379 371
383 382 382 383
369 396 323 442
318 447 316 449
