29 46 73
0 94.3151 153.699 182
134 108 130 112
127 115 126 116
122 120 121 121
114 128 111 131
141 116 150 107
183 89 157 115
176 111 203 84
218 84 208 94
206 96 205 97
226 91 226 91
229 88 245 72
262 70 254 78
269 78 271 76
283 79 278 84
288 89 292 85
299 93 297 95
304 103 305 102
311 111 310 112
314 123 317 120
322 130 320 132
