75 84 119
0 75 94.2857 136
133 214 128 219
128 234 152 210
166 211 129 248
127 250 125 252
130 262 180 212
188 219 129 278
136 286 198 224
205 232 142 295
151 301 207 245
208 259 162 305
160 322 160 322
162 320 210 272
211 286 159 338
167 345 167 345
176 336 177 335
179 333 182 330
184 328 185 327
189 323 190 322
194 318 195 317
198 314 199 313
213 299 222 290
