45 76 124
0 98.7097 162.46 131
287 90 284 93
293 99 296 96
303 104 299 108
304 118 309 113
313 124 309 128
316 136 319 133
324 143 321 146
326 156 329 153
332 165 330 167
336 176 339 173
343 184 340 187
248 294 251 291
260 282 264 278
345 197 348 194
352 205 348 209
272 285 267 290
263 294 261 296
259 298 254 303
262 310 281 291
351 221 355 217
374 211 362 223
359 226 352 233
288 297 274 311
288 312 296 304
355 245 368 232
367 248 357 258
305 310 296 319
306 324 314 316
355 275 371 259
395 250 394 251
376 269 314 331
343 317 345 315
348 312 348 312
363 297 363 297
366 294 367 293
369 291 379 281
391 269 393 267
389 286 385 290
381 294 377 298
