141 128 157
0 47.1019 25.9873 98
178 94 178 94
189 92 188 93
197 93 198 92
207 92 206 93
187 121 189 119
215 93 216 92
224 93 223 94
199 118 197 120
207 119 209 117
232 94 233 93
241 94 240 95
221 114 218 117
229 115 231 113
233 111 233 111
235 109 235 109
237 107 237 107
248 96 249 95
256 97 240 113
252 110 263 99
270 101 262 109
270 110 277 103
283 106 278 111
285 113 288 110
288 112 286 114
292 117 294 115
300 118 298 120
304 123 305 122
312 133 314 131
318 136 315 139
318 145 321 142
324 148 322 150
324 157 327 154
329 161 327 163
329 170 331 168
333 175 332 176
