141 147 172
0 37.0639 45.9593 83
129 113 128 114
125 117 123 119
116 141 140 117
156 116 104 168
102 185 166 121
171 116 172 115
160 142 103 199
104 213 147 170
146 186 104 228
106 241 127 220
134 213 151 196
127 235 110 252
108 254 107 255
109 268 124 253
128 249 128 249
129 263 111 281
113 294 128 279
135 287 115 307
119 318 141 296
150 302 125 327
132 335 161 306
159 323 140 342
146 351 158 339
