16 28 71
0 154.437 197.535 184
29 453 41 441
62 435 1 496
1 511 77 435
100 427 1 526
1 541 114 428
97 460 1 556
1 571 98 474
104 481 1 584
16 584 113 487
125 490 31 584
46 584 137 493
147 498 61 584
76 584 154 506
186 474 186 474
191 484 190 485
162 513 91 584
106 584 179 511
194 496 199 491
204 501 121 584
136 584 212 508
221 514 151 584
166 584 228 522
236 529 181 584
196 584 244 536
434 346 439 341
446 349 439 356
390 405 387 408
250 545 211 584
226 584 257 553
387 423 392 418
441 369 451 359
453 372 441 384
386 439 379 446
269 556 241 584
256 584 322 518
331 509 334 506
337 503 337 503
339 501 340 500
356 484 356 484
358 482 381 459
438 402 453 387
453 402 435 420
413 442 404 451
400 455 396 459
394 461 271 584
286 584 463 407
474 411 301 584
316 584 484 416
495 420 331 584
346 584 499 431
499 446 361 584
376 584 499 461
499 476 391 584
406 584 499 491
499 506 421 584
436 584 499 521
499 536 451 584
466 584 499 551
499 566 481 584
496 584 499 581
