77 78 81
0 9.44449 12.5926 174
104 258 101 261
93 284 108 269
110 282 96 296
107 300 112 295
114 308 106 316
109 328 118 319
124 328 110 342
114 353 131 336
139 343 119 363
122 375 145 352
163 349 128 384
129 398 129 398
131 396 166 361
171 371 137 405
146 411 174 383
181 391 156 416
163 422 167 418
172 413 185 400
183 417 181 419
183 432 199 416
201 414 202 413
208 407 211 404
214 416 199 431
197 433 189 441
203 442 209 436
212 433 223 422
227 433 220 440
214 446 209 451
217 458 219 456
226 449 228 447
230 445 230 445
